topic,source,negative,neutral,positive,negative_neutral_diff,positive_neutral_diff
100_взрывах_сообщают_украина_взрыве,UkraineNow,0.507,0.479,0.014,0.028000000000000025,0.46499999999999997
100_взрывах_сообщают_украина_взрыве,RBK,0.0,0.0,0.0,0.0,0.0
100_взрывах_сообщают_украина_взрыве,NovayaGazeta,0.0,0.0,0.0,0.0,0.0
100_взрывах_сообщают_украина_взрыве,TACC,0.0,0.0,0.0,0.0,0.0
100_взрывах_сообщают_украина_взрыве,Meduza,0.5,0.5,0.0,0.0,0.5
101_армении_азербайджана_отставки_оппозиции,ShockedUkraine,0.0,1.0,0.0,1.0,1.0
101_армении_азербайджана_отставки_оппозиции,UNIAN,0.875,0.125,0.0,0.75,0.125
101_армении_азербайджана_отставки_оппозиции,TACC,0.291,0.682,0.027,0.39100000000000007,0.655
101_армении_азербайджана_отставки_оппозиции,RIANews,0.411,0.558,0.032,0.14700000000000008,0.526
101_армении_азербайджана_отставки_оппозиции,Ukraine24,0.0,0.0,0.0,0.0,0.0
101_армении_азербайджана_отставки_оппозиции,RBK,0.5,0.5,0.0,0.0,0.5
101_армении_азербайджана_отставки_оппозиции,NovayaGazeta,0.5,0.5,0.0,0.0,0.5
101_армении_азербайджана_отставки_оппозиции,WashingtonPost,0.0,0.0,0.0,0.0,0.0
101_армении_азербайджана_отставки_оппозиции,UkraineNow,0.5,0.5,0.0,0.0,0.5
101_армении_азербайджана_отставки_оппозиции,Meduza,0.5,0.5,0.0,0.0,0.5
101_армении_азербайджана_отставки_оппозиции,BBC,0.333,0.333,0.333,0.0,0.0
101_армении_азербайджана_отставки_оппозиции,NYT,0.0,0.0,0.0,0.0,0.0
102_час_часа_передвигаться_утра,NYT,1.0,0.0,0.0,1.0,0.0
102_час_часа_передвигаться_утра,BBC,0.846,0.154,0.0,0.692,0.154
102_час_часа_передвигаться_утра,ShockedUkraine,0.833,0.167,0.0,0.6659999999999999,0.167
102_час_часа_передвигаться_утра,TACC,0.294,0.647,0.059,0.35300000000000004,0.5880000000000001
102_час_часа_передвигаться_утра,Meduza,0.333,0.667,0.0,0.334,0.667
102_час_часа_передвигаться_утра,RIANews,0.355,0.581,0.065,0.22599999999999998,0.516
102_час_часа_передвигаться_утра,RBK,0.357,0.571,0.071,0.21399999999999997,0.49999999999999994
102_час_часа_передвигаться_утра,UNIAN,0.549,0.39,0.061,0.15900000000000003,0.329
102_час_часа_передвигаться_утра,Ukraine24,0.429,0.571,0.0,0.14199999999999996,0.571
102_час_часа_передвигаться_утра,UkraineNow,0.463,0.5,0.037,0.03699999999999998,0.463
102_час_часа_передвигаться_утра,NovayaGazeta,0.0,0.0,0.0,0.0,0.0
102_час_часа_передвигаться_утра,WashingtonPost,0.0,0.0,0.0,0.0,0.0
103_гуманитарной_доставили_гуманитарную_военнослужащие,ShockedUkraine,1.0,0.0,0.0,1.0,0.0
103_гуманитарной_доставили_гуманитарную_военнослужащие,RBK,0.0,1.0,0.0,1.0,1.0
103_гуманитарной_доставили_гуманитарную_военнослужащие,RIANews,0.164,0.672,0.164,0.508,0.508
103_гуманитарной_доставили_гуманитарную_военнослужащие,Meduza,0.167,0.667,0.167,0.5,0.5
103_гуманитарной_доставили_гуманитарную_военнослужащие,TACC,0.153,0.618,0.229,0.46499999999999997,0.389
103_гуманитарной_доставили_гуманитарную_военнослужащие,UkraineNow,0.143,0.429,0.429,0.28600000000000003,0.0
103_гуманитарной_доставили_гуманитарную_военнослужащие,UNIAN,0.273,0.364,0.364,0.09099999999999997,0.0
103_гуманитарной_доставили_гуманитарную_военнослужащие,Ukraine24,0.0,0.0,1.0,0.0,1.0
103_гуманитарной_доставили_гуманитарную_военнослужащие,NovayaGazeta,0.0,0.0,0.0,0.0,0.0
103_гуманитарной_доставили_гуманитарную_военнослужащие,WashingtonPost,0.0,0.0,0.0,0.0,0.0
103_гуманитарной_доставили_гуманитарную_военнослужащие,BBC,0.0,0.0,1.0,0.0,1.0
103_гуманитарной_доставили_гуманитарную_военнослужащие,NYT,0.0,0.0,0.0,0.0,0.0
104_финляндии_турция_турции_финляндия,Ukraine24,1.0,0.0,0.0,1.0,0.0
104_финляндии_турция_турции_финляндия,ShockedUkraine,0.5,0.0,0.5,0.5,0.5
104_финляндии_турция_турции_финляндия,NYT,0.75,0.25,0.0,0.5,0.25
104_финляндии_турция_турции_финляндия,TACC,0.33,0.651,0.019,0.321,0.632
104_финляндии_турция_турции_финляндия,RIANews,0.344,0.656,0.0,0.31200000000000006,0.656
104_финляндии_турция_турции_финляндия,Meduza,0.538,0.308,0.154,0.23000000000000004,0.154
104_финляндии_турция_турции_финляндия,WashingtonPost,0.4,0.6,0.0,0.19999999999999996,0.6
104_финляндии_турция_турции_финляндия,BBC,0.562,0.375,0.062,0.18700000000000006,0.313
104_финляндии_турция_турции_финляндия,UkraineNow,0.364,0.545,0.091,0.18100000000000005,0.45400000000000007
104_финляндии_турция_турции_финляндия,RBK,0.5,0.417,0.083,0.08300000000000002,0.33399999999999996
104_финляндии_турция_турции_финляндия,UNIAN,0.433,0.5,0.067,0.067,0.433
104_финляндии_турция_турции_финляндия,NovayaGazeta,0.0,0.0,0.0,0.0,0.0
105_пенсии_тыс_пенсий_пенсионеров,ShockedUkraine,0.0,1.0,0.0,1.0,1.0
105_пенсии_тыс_пенсий_пенсионеров,Ukraine24,0.667,0.0,0.333,0.667,0.333
105_пенсии_тыс_пенсий_пенсионеров,BBC,0.0,0.5,0.5,0.5,0.0
105_пенсии_тыс_пенсий_пенсионеров,TACC,0.247,0.516,0.237,0.269,0.279
105_пенсии_тыс_пенсий_пенсионеров,UkraineNow,0.538,0.308,0.154,0.23000000000000004,0.154
105_пенсии_тыс_пенсий_пенсионеров,UNIAN,0.375,0.562,0.062,0.18700000000000006,0.5
105_пенсии_тыс_пенсий_пенсионеров,Meduza,0.333,0.5,0.167,0.16699999999999998,0.33299999999999996
105_пенсии_тыс_пенсий_пенсионеров,RBK,0.355,0.452,0.194,0.09700000000000003,0.258
105_пенсии_тыс_пенсий_пенсионеров,RIANews,0.271,0.354,0.375,0.08299999999999996,0.02100000000000002
105_пенсии_тыс_пенсий_пенсионеров,NovayaGazeta,0.5,0.5,0.0,0.0,0.5
105_пенсии_тыс_пенсий_пенсионеров,WashingtonPost,0.0,0.0,0.0,0.0,0.0
105_пенсии_тыс_пенсий_пенсионеров,NYT,0.0,0.0,0.0,0.0,0.0
106_закон_подписал_путин_указ,NovayaGazeta,0.0,0.75,0.25,0.75,0.5
106_закон_подписал_путин_указ,Meduza,0.143,0.857,0.0,0.714,0.857
106_закон_подписал_путин_указ,TACC,0.243,0.614,0.143,0.371,0.471
106_закон_подписал_путин_указ,UNIAN,0.261,0.609,0.13,0.348,0.479
106_закон_подписал_путин_указ,ShockedUkraine,0.333,0.667,0.0,0.334,0.667
106_закон_подписал_путин_указ,RIANews,0.288,0.615,0.096,0.327,0.519
106_закон_подписал_путин_указ,RBK,0.375,0.542,0.083,0.16700000000000004,0.459
106_закон_подписал_путин_указ,BBC,0.286,0.429,0.286,0.14300000000000002,0.14300000000000002
106_закон_подписал_путин_указ,UkraineNow,0.417,0.5,0.083,0.08300000000000002,0.417
106_закон_подписал_путин_указ,Ukraine24,0.333,0.333,0.333,0.0,0.0
106_закон_подписал_путин_указ,WashingtonPost,0.0,0.0,0.0,0.0,0.0
106_закон_подписал_путин_указ,NYT,0.5,0.5,0.0,0.0,0.5
107_apple_visa_mastercard_карты,Ukraine24,0.714,0.286,0.0,0.428,0.286
107_apple_visa_mastercard_карты,BBC,0.417,0.083,0.5,0.33399999999999996,0.417
107_apple_visa_mastercard_карты,NovayaGazeta,0.333,0.0,0.667,0.333,0.667
107_apple_visa_mastercard_карты,UNIAN,0.522,0.261,0.217,0.261,0.04400000000000001
107_apple_visa_mastercard_карты,ShockedUkraine,0.375,0.625,0.0,0.25,0.625
107_apple_visa_mastercard_карты,TACC,0.393,0.213,0.393,0.18000000000000002,0.18000000000000002
107_apple_visa_mastercard_карты,RIANews,0.459,0.279,0.262,0.18,0.017000000000000015
107_apple_visa_mastercard_карты,Meduza,0.412,0.294,0.294,0.118,0.0
107_apple_visa_mastercard_карты,UkraineNow,0.375,0.292,0.333,0.08300000000000002,0.041000000000000036
107_apple_visa_mastercard_карты,RBK,0.25,0.188,0.562,0.062,0.37400000000000005
107_apple_visa_mastercard_карты,WashingtonPost,0.0,0.0,0.0,0.0,0.0
107_apple_visa_mastercard_карты,NYT,0.0,0.0,0.0,0.0,0.0
108_выборов_выборы_выборах_республики,RIANews,0.138,0.862,0.0,0.724,0.862
108_выборов_выборы_выборах_республики,BBC,0.167,0.833,0.0,0.6659999999999999,0.833
108_выборов_выборы_выборах_республики,UkraineNow,0.25,0.75,0.0,0.5,0.75
108_выборов_выборы_выборах_республики,TACC,0.259,0.724,0.017,0.46499999999999997,0.707
108_выборов_выборы_выборах_республики,Meduza,0.333,0.667,0.0,0.334,0.667
108_выборов_выборы_выборах_республики,RBK,0.632,0.368,0.0,0.264,0.368
108_выборов_выборы_выборах_республики,UNIAN,0.5,0.4,0.1,0.09999999999999998,0.30000000000000004
108_выборов_выборы_выборах_республики,Ukraine24,0.0,0.0,0.0,0.0,0.0
108_выборов_выборы_выборах_республики,ShockedUkraine,0.0,0.0,0.0,0.0,0.0
108_выборов_выборы_выборах_республики,NovayaGazeta,0.0,0.0,0.0,0.0,0.0
108_выборов_выборы_выборах_республики,WashingtonPost,0.0,0.0,0.0,0.0,0.0
108_выборов_выборы_выборах_республики,NYT,0.0,0.0,0.0,0.0,0.0
109_лавровым_турции_иностранных_встреча,ShockedUkraine,1.0,0.0,0.0,1.0,0.0
109_лавровым_турции_иностранных_встреча,Meduza,0.0,0.857,0.143,0.857,0.714
109_лавровым_турции_иностранных_встреча,TACC,0.148,0.789,0.063,0.641,0.726
109_лавровым_турции_иностранных_встреча,Ukraine24,0.0,0.5,0.5,0.5,0.0
109_лавровым_турции_иностранных_встреча,RIANews,0.205,0.692,0.103,0.487,0.589
109_лавровым_турции_иностранных_встреча,UNIAN,0.182,0.636,0.182,0.454,0.454
109_лавровым_турции_иностранных_встреча,RBK,0.222,0.667,0.111,0.44500000000000006,0.556
109_лавровым_турции_иностранных_встреча,UkraineNow,0.231,0.615,0.154,0.384,0.46099999999999997
109_лавровым_турции_иностранных_встреча,BBC,0.4,0.1,0.5,0.30000000000000004,0.4
109_лавровым_турции_иностранных_встреча,NovayaGazeta,0.0,0.0,0.0,0.0,0.0
109_лавровым_турции_иностранных_встреча,WashingtonPost,0.0,0.0,0.0,0.0,0.0
109_лавровым_турции_иностранных_встреча,NYT,0.0,0.0,0.0,0.0,0.0
10_директоров_должность_назначен_отставку,WashingtonPost,1.0,0.0,0.0,1.0,0.0
10_директоров_должность_назначен_отставку,NYT,1.0,0.0,0.0,1.0,0.0
10_директоров_должность_назначен_отставку,NovayaGazeta,0.0,0.727,0.273,0.727,0.45399999999999996
10_директоров_должность_назначен_отставку,TACC,0.208,0.753,0.039,0.545,0.714
10_директоров_должность_назначен_отставку,RIANews,0.226,0.767,0.007,0.541,0.76
10_директоров_должность_назначен_отставку,ShockedUkraine,0.75,0.25,0.0,0.5,0.25
10_директоров_должность_назначен_отставку,Meduza,0.299,0.597,0.104,0.298,0.493
10_директоров_должность_назначен_отставку,RBK,0.323,0.599,0.078,0.27599999999999997,0.521
10_директоров_должность_назначен_отставку,UNIAN,0.554,0.411,0.036,0.14300000000000007,0.375
10_директоров_должность_назначен_отставку,UkraineNow,0.435,0.522,0.043,0.08700000000000002,0.47900000000000004
10_директоров_должность_назначен_отставку,BBC,0.452,0.484,0.065,0.03199999999999997,0.419
10_директоров_должность_назначен_отставку,Ukraine24,0.4,0.4,0.2,0.0,0.2
110_водитель_автомобиль_автобуса_автобус,ShockedUkraine,1.0,0.0,0.0,1.0,0.0
110_водитель_автомобиль_автобуса_автобус,NovayaGazeta,1.0,0.0,0.0,1.0,0.0
110_водитель_автомобиль_автобуса_автобус,UNIAN,0.87,0.0,0.13,0.87,0.13
110_водитель_автомобиль_автобуса_автобус,RIANews,0.808,0.141,0.051,0.667,0.09
110_водитель_автомобиль_автобуса_автобус,UkraineNow,0.8,0.15,0.05,0.65,0.09999999999999999
110_водитель_автомобиль_автобуса_автобус,RBK,0.8,0.2,0.0,0.6000000000000001,0.2
110_водитель_автомобиль_автобуса_автобус,TACC,0.74,0.164,0.096,0.576,0.068
110_водитель_автомобиль_автобуса_автобус,BBC,0.6,0.2,0.2,0.39999999999999997,0.0
110_водитель_автомобиль_автобуса_автобус,Meduza,0.571,0.429,0.0,0.14199999999999996,0.429
110_водитель_автомобиль_автобуса_автобус,Ukraine24,0.5,0.5,0.0,0.0,0.5
110_водитель_автомобиль_автобуса_автобус,WashingtonPost,0.0,0.0,0.0,0.0,0.0
110_водитель_автомобиль_автобуса_автобус,NYT,0.0,0.0,0.0,0.0,0.0
111_заражения_сутки_коронавирусом_случаев,UkraineNow,0.0,1.0,0.0,1.0,1.0
111_заражения_сутки_коронавирусом_случаев,Meduza,1.0,0.0,0.0,1.0,0.0
111_заражения_сутки_коронавирусом_случаев,RIANews,0.987,0.013,0.0,0.974,0.013
111_заражения_сутки_коронавирусом_случаев,TACC,0.972,0.021,0.007,0.951,0.014000000000000002
111_заражения_сутки_коронавирусом_случаев,RBK,0.8,0.1,0.1,0.7000000000000001,0.0
111_заражения_сутки_коронавирусом_случаев,NovayaGazeta,0.333,0.667,0.0,0.334,0.667
111_заражения_сутки_коронавирусом_случаев,UNIAN,0.0,0.0,0.0,0.0,0.0
111_заражения_сутки_коронавирусом_случаев,Ukraine24,0.0,0.0,0.0,0.0,0.0
111_заражения_сутки_коронавирусом_случаев,ShockedUkraine,0.0,0.0,0.0,0.0,0.0
111_заражения_сутки_коронавирусом_случаев,WashingtonPost,0.0,0.0,0.0,0.0,0.0
111_заражения_сутки_коронавирусом_случаев,BBC,0.0,0.0,0.0,0.0,0.0
111_заражения_сутки_коронавирусом_случаев,NYT,0.0,0.0,0.0,0.0,0.0
112_сахара_сахар_цены_товаров,UkraineNow,0.857,0.143,0.0,0.714,0.143
112_сахара_сахар_цены_товаров,UNIAN,0.75,0.125,0.125,0.625,0.0
112_сахара_сахар_цены_товаров,BBC,0.667,0.333,0.0,0.334,0.333
112_сахара_сахар_цены_товаров,RIANews,0.333,0.561,0.106,0.22800000000000004,0.45500000000000007
112_сахара_сахар_цены_товаров,Meduza,0.545,0.364,0.091,0.18100000000000005,0.273
112_сахара_сахар_цены_товаров,NovayaGazeta,0.429,0.571,0.0,0.14199999999999996,0.571
112_сахара_сахар_цены_товаров,RBK,0.375,0.5,0.125,0.125,0.375
112_сахара_сахар_цены_товаров,Ukraine24,0.0,0.0,0.0,0.0,0.0
112_сахара_сахар_цены_товаров,ShockedUkraine,0.5,0.5,0.0,0.0,0.5
112_сахара_сахар_цены_товаров,TACC,0.397,0.397,0.206,0.0,0.19100000000000003
112_сахара_сахар_цены_товаров,WashingtonPost,0.0,0.0,0.0,0.0,0.0
112_сахара_сахар_цены_товаров,NYT,0.0,0.0,0.0,0.0,0.0
113_украине_танков_чехия_словения,NovayaGazeta,0.0,1.0,0.0,1.0,1.0
113_украине_танков_чехия_словения,BBC,0.9,0.1,0.0,0.8,0.1
113_украине_танков_чехия_словения,TACC,0.324,0.676,0.0,0.35200000000000004,0.676
113_украине_танков_чехия_словения,ShockedUkraine,0.263,0.526,0.211,0.263,0.31500000000000006
113_украине_танков_чехия_словения,UkraineNow,0.333,0.588,0.078,0.25499999999999995,0.51
113_украине_танков_чехия_словения,Ukraine24,0.25,0.5,0.25,0.25,0.25
113_украине_танков_чехия_словения,RBK,0.5,0.375,0.125,0.125,0.25
113_украине_танков_чехия_словения,RIANews,0.429,0.476,0.095,0.046999999999999986,0.381
113_украине_танков_чехия_словения,UNIAN,0.413,0.413,0.174,0.0,0.239
113_украине_танков_чехия_словения,WashingtonPost,0.0,0.0,0.0,0.0,0.0
113_украине_танков_чехия_словения,Meduza,0.5,0.5,0.0,0.0,0.5
113_украине_танков_чехия_словения,NYT,0.0,0.0,0.0,0.0,0.0
114_слушайте_война_youtube_вашей,RBK,0.0,1.0,0.0,1.0,1.0
114_слушайте_война_youtube_вашей,RIANews,0.0,1.0,0.0,1.0,1.0
114_слушайте_война_youtube_вашей,Meduza,0.049,0.927,0.024,0.878,0.903
114_слушайте_война_youtube_вашей,UNIAN,0.0,0.5,0.5,0.5,0.0
114_слушайте_война_youtube_вашей,BBC,0.57,0.376,0.054,0.19399999999999995,0.322
114_слушайте_война_youtube_вашей,Ukraine24,0.0,0.0,0.0,0.0,0.0
114_слушайте_война_youtube_вашей,ShockedUkraine,0.0,0.0,0.0,0.0,0.0
114_слушайте_война_youtube_вашей,NovayaGazeta,0.0,0.0,0.0,0.0,0.0
114_слушайте_война_youtube_вашей,TACC,0.0,0.0,0.0,0.0,0.0
114_слушайте_война_youtube_вашей,WashingtonPost,0.0,0.0,0.0,0.0,0.0
114_слушайте_война_youtube_вашей,UkraineNow,0.0,0.0,0.0,0.0,0.0
114_слушайте_война_youtube_вашей,NYT,0.0,0.0,0.0,0.0,0.0
115_флаг_флага_флаги_флагом,NovayaGazeta,1.0,0.0,0.0,1.0,0.0
115_флаг_флага_флаги_флагом,RBK,0.125,0.875,0.0,0.75,0.875
115_флаг_флага_флаги_флагом,RIANews,0.133,0.767,0.1,0.634,0.667
115_флаг_флага_флаги_флагом,TACC,0.133,0.667,0.2,0.534,0.467
115_флаг_флага_флаги_флагом,BBC,0.6,0.1,0.3,0.5,0.19999999999999998
115_флаг_флага_флаги_флагом,ShockedUkraine,0.615,0.308,0.077,0.307,0.23099999999999998
115_флаг_флага_флаги_флагом,UNIAN,0.362,0.511,0.128,0.14900000000000002,0.383
115_флаг_флага_флаги_флагом,UkraineNow,0.417,0.467,0.117,0.050000000000000044,0.35000000000000003
115_флаг_флага_флаги_флагом,Ukraine24,0.5,0.5,0.0,0.0,0.5
115_флаг_флага_флаги_флагом,WashingtonPost,0.0,0.0,0.0,0.0,0.0
115_флаг_флага_флаги_флагом,Meduza,0.478,0.478,0.043,0.0,0.435
115_флаг_флага_флаги_флагом,NYT,0.0,0.0,0.0,0.0,0.0
116_магазины_магазинов_компании_продажи,BBC,0.714,0.143,0.143,0.571,0.0
116_магазины_магазинов_компании_продажи,NovayaGazeta,0.75,0.25,0.0,0.5,0.25
116_магазины_магазинов_компании_продажи,UkraineNow,0.667,0.238,0.095,0.42900000000000005,0.143
116_магазины_магазинов_компании_продажи,Meduza,0.6,0.32,0.08,0.27999999999999997,0.24
116_магазины_магазинов_компании_продажи,Ukraine24,0.2,0.4,0.4,0.2,0.0
116_магазины_магазинов_компании_продажи,UNIAN,0.478,0.391,0.13,0.08699999999999997,0.261
116_магазины_магазинов_компании_продажи,TACC,0.421,0.342,0.237,0.07899999999999996,0.10500000000000004
116_магазины_магазинов_компании_продажи,RBK,0.379,0.31,0.31,0.069,0.0
116_магазины_магазинов_компании_продажи,RIANews,0.4,0.36,0.24,0.040000000000000036,0.12
116_магазины_магазинов_компании_продажи,ShockedUkraine,0.0,0.0,1.0,0.0,1.0
116_магазины_магазинов_компании_продажи,WashingtonPost,0.0,0.0,0.0,0.0,0.0
116_магазины_магазинов_компании_продажи,NYT,0.0,0.0,0.0,0.0,0.0
117_животных_собак_пес_собаку,RBK,1.0,0.0,0.0,1.0,0.0
117_животных_собак_пес_собаку,NYT,0.0,1.0,0.0,1.0,1.0
117_животных_собак_пес_собаку,BBC,0.667,0.111,0.222,0.556,0.111
117_животных_собак_пес_собаку,ShockedUkraine,0.733,0.2,0.067,0.5329999999999999,0.133
117_животных_собак_пес_собаку,UNIAN,0.663,0.224,0.112,0.43900000000000006,0.112
117_животных_собак_пес_собаку,NovayaGazeta,0.667,0.333,0.0,0.334,0.333
117_животных_собак_пес_собаку,UkraineNow,0.556,0.267,0.178,0.28900000000000003,0.08900000000000002
117_животных_собак_пес_собаку,TACC,0.571,0.429,0.0,0.14199999999999996,0.429
117_животных_собак_пес_собаку,Meduza,0.5,0.417,0.083,0.08300000000000002,0.33399999999999996
117_животных_собак_пес_собаку,Ukraine24,0.5,0.5,0.0,0.0,0.5
117_животных_собак_пес_собаку,RIANews,0.458,0.458,0.083,0.0,0.375
117_животных_собак_пес_собаку,WashingtonPost,0.0,0.0,0.0,0.0,0.0
118_газа_газпром_газ_газпрома,Ukraine24,1.0,0.0,0.0,1.0,0.0
118_газа_газпром_газ_газпрома,WashingtonPost,0.0,1.0,0.0,1.0,1.0
118_газа_газпром_газ_газпрома,NYT,1.0,0.0,0.0,1.0,0.0
118_газа_газпром_газ_газпрома,UkraineNow,0.222,0.778,0.0,0.556,0.778
118_газа_газпром_газ_газпрома,ShockedUkraine,0.182,0.727,0.091,0.5449999999999999,0.636
118_газа_газпром_газ_газпрома,RBK,0.593,0.259,0.148,0.33399999999999996,0.11100000000000002
118_газа_газпром_газ_газпрома,Meduza,0.273,0.455,0.273,0.182,0.182
118_газа_газпром_газ_газпрома,TACC,0.348,0.515,0.136,0.16700000000000004,0.379
118_газа_газпром_газ_газпрома,UNIAN,0.5,0.333,0.167,0.16699999999999998,0.166
118_газа_газпром_газ_газпрома,BBC,0.5,0.35,0.15,0.15000000000000002,0.19999999999999998
118_газа_газпром_газ_газпрома,RIANews,0.405,0.459,0.135,0.05399999999999999,0.324
118_газа_газпром_газ_газпрома,NovayaGazeta,0.0,0.0,0.0,0.0,0.0
119_russian_ukrainian_ukraine_luhansk,Ukraine24,1.0,0.0,0.0,1.0,0.0
119_russian_ukrainian_ukraine_luhansk,NYT,0.0,1.0,0.0,1.0,1.0
119_russian_ukrainian_ukraine_luhansk,WashingtonPost,0.059,0.941,0.0,0.8819999999999999,0.941
119_russian_ukrainian_ukraine_luhansk,TACC,0.833,0.167,0.0,0.6659999999999999,0.167
119_russian_ukrainian_ukraine_luhansk,UkraineNow,0.737,0.105,0.158,0.632,0.053000000000000005
119_russian_ukrainian_ukraine_luhansk,ShockedUkraine,0.667,0.333,0.0,0.334,0.333
119_russian_ukrainian_ukraine_luhansk,RBK,0.667,0.333,0.0,0.334,0.333
119_russian_ukrainian_ukraine_luhansk,RIANews,0.6,0.333,0.067,0.26699999999999996,0.266
119_russian_ukrainian_ukraine_luhansk,UNIAN,0.5,0.321,0.179,0.179,0.14200000000000002
119_russian_ukrainian_ukraine_luhansk,BBC,0.429,0.571,0.0,0.14199999999999996,0.571
119_russian_ukrainian_ukraine_luhansk,NovayaGazeta,0.0,0.0,0.0,0.0,0.0
119_russian_ukrainian_ukraine_luhansk,Meduza,0.5,0.5,0.0,0.0,0.5
11_школах_школы_школ_учителей,NYT,0.0,1.0,0.0,1.0,1.0
11_школах_школы_школ_учителей,ShockedUkraine,0.286,0.667,0.048,0.38100000000000006,0.619
11_школах_школы_школ_учителей,RIANews,0.254,0.59,0.157,0.33599999999999997,0.43299999999999994
11_школах_школы_школ_учителей,WashingtonPost,0.667,0.333,0.0,0.334,0.333
11_школах_школы_школ_учителей,NovayaGazeta,0.636,0.318,0.045,0.318,0.273
11_школах_школы_школ_учителей,TACC,0.288,0.561,0.151,0.2730000000000001,0.41000000000000003
11_школах_школы_школ_учителей,BBC,0.593,0.333,0.074,0.25999999999999995,0.259
11_школах_школы_школ_учителей,RBK,0.295,0.449,0.256,0.15400000000000003,0.193
11_школах_школы_школ_учителей,UNIAN,0.446,0.361,0.193,0.08500000000000002,0.16799999999999998
11_школах_школы_школ_учителей,UkraineNow,0.397,0.365,0.238,0.03200000000000003,0.127
11_школах_школы_школ_учителей,Meduza,0.4,0.427,0.173,0.02699999999999997,0.254
11_школах_школы_школ_учителей,Ukraine24,0.4,0.4,0.2,0.0,0.2
120_яндекс_компании_пользователей_yandex,UNIAN,0.778,0.111,0.111,0.667,0.0
120_яндекс_компании_пользователей_yandex,UkraineNow,0.75,0.25,0.0,0.5,0.25
120_яндекс_компании_пользователей_yandex,TACC,0.25,0.696,0.054,0.44599999999999995,0.6419999999999999
120_яндекс_компании_пользователей_yandex,BBC,0.714,0.286,0.0,0.428,0.286
120_яндекс_компании_пользователей_yandex,Meduza,0.351,0.649,0.0,0.29800000000000004,0.649
120_яндекс_компании_пользователей_yandex,NovayaGazeta,0.625,0.375,0.0,0.25,0.375
120_яндекс_компании_пользователей_yandex,RIANews,0.3,0.533,0.167,0.23300000000000004,0.366
120_яндекс_компании_пользователей_yandex,RBK,0.38,0.44,0.18,0.06,0.26
120_яндекс_компании_пользователей_yandex,Ukraine24,0.0,0.0,0.0,0.0,0.0
120_яндекс_компании_пользователей_yandex,ShockedUkraine,0.5,0.5,0.0,0.0,0.5
120_яндекс_компании_пользователей_yandex,WashingtonPost,0.0,0.0,0.0,0.0,0.0
120_яндекс_компании_пользователей_yandex,NYT,0.0,0.0,0.0,0.0,0.0
121_конашенкова_минобороны_обороны_рф,TACC,0.007,0.993,0.0,0.986,0.993
121_конашенкова_минобороны_обороны_рф,Ukraine24,0.143,0.857,0.0,0.714,0.857
121_конашенкова_минобороны_обороны_рф,Meduza,0.154,0.846,0.0,0.692,0.846
121_конашенкова_минобороны_обороны_рф,ShockedUkraine,0.2,0.8,0.0,0.6000000000000001,0.8
121_конашенкова_минобороны_обороны_рф,UNIAN,0.214,0.714,0.071,0.5,0.643
121_конашенкова_минобороны_обороны_рф,BBC,0.5,0.0,0.5,0.5,0.5
121_конашенкова_минобороны_обороны_рф,UkraineNow,0.333,0.611,0.056,0.27799999999999997,0.5549999999999999
121_конашенкова_минобороны_обороны_рф,RIANews,0.444,0.533,0.022,0.08900000000000002,0.511
